Maturity,Strike,Call,Put
0.0159,270.0,241.375,0.005
0.0159,315.0,196.4,0.005
0.0159,320.0,191.4,0.005
0.0159,335.0,176.425,0.005
0.0159,350.0,161.45,0.005
0.0159,360.0,151.45,0.005
0.0159,365.0,146.35,0.005
0.0159,370.0,141.45,0.005
0.0159,380.0,131.45,0.005
0.0159,385.0,126.475,0.005
0.0159,390.0,121.575,0.005
0.0159,395.0,116.475,0.005
0.0159,400.0,111.5,0.005
0.0159,405.0,106.5,0.005
0.0159,410.0,101.5,0.005
0.0159,415.0,96.5,0.005
0.0159,420.0,91.55,0.005
0.0159,425.0,86.5,0.01
0.0159,430.0,81.875,0.015
0.0159,435.0,76.925,0.01
0.0159,440.0,72.15,0.01
0.0159,445.0,67.075,0.01
0.0159,447.5,64.875,0.015
0.0159,450.0,62.175,0.025
0.0159,452.5,59.825,0.02
0.0159,455.0,56.95,0.02
0.0159,457.5,55.05,0.025
0.0159,460.0,52.1,0.03
0.0159,462.5,49.5,0.035
0.0159,465.0,47.425,0.04
0.0159,470.0,42.65,0.06
0.0159,475.0,37.05,0.1
0.0159,480.0,32.65,0.16
0.0159,482.5,29.65,0.21
0.0159,485.0,27.325,0.275
0.0159,487.5,24.75,0.36
0.0159,490.0,22.425,0.5
0.0159,492.5,20.125,0.635
0.0159,495.0,17.9,0.84
0.0159,497.5,15.2,1.135
0.0159,500.0,13.45,1.465
0.0159,502.5,11.375,1.92
0.0159,505.0,9.725,2.525
0.0159,507.5,7.725,3.275
0.0159,510.0,6.175,4.225
0.0159,512.5,4.825,5.525
0.0159,515.0,3.675,6.7
0.0159,517.5,2.645,8.375
0.0159,520.0,1.975,10.125
0.0159,522.5,1.32,12.55
0.0159,525.0,0.97,14.15
0.0159,527.5,0.56,16.5
0.0159,530.0,0.405,18.725
0.0159,532.5,0.29,
0.0159,535.0,0.19,23.6
0.0159,537.5,0.12,26.55
0.0159,540.0,0.08,28.625
0.0159,542.5,0.055,
0.0159,545.0,0.045,33.525
0.0159,547.5,0.03,
0.0159,550.0,0.025,38.15
0.0159,552.5,0.02,41.025
0.0159,555.0,0.025,44.025
0.0159,557.5,0.015,
0.0159,560.0,0.025,48.875
0.0159,562.5,0.015,
0.0159,565.0,0.015,53.925
0.0159,567.5,0.015,
0.0159,570.0,0.015,59.225
0.0159,572.5,0.015,
0.0159,575.0,0.015,
0.0159,580.0,0.015,
0.0159,585.0,0.015,73.4
0.0159,590.0,0.01,79.175
0.0159,595.0,0.005,83.35
0.0159,600.0,0.005,
0.0159,605.0,0.01,
0.0159,610.0,0.01,
0.0159,620.0,0.005,108.725
0.0159,625.0,0.005,
0.0159,650.0,0.005,
0.0437,270.0,241.7,0.01
0.0437,290.0,221.925,
0.0437,355.0,156.85,
0.0437,380.0,131.9,0.01
0.0437,385.0,126.875,
0.0437,390.0,122.275,0.01
0.0437,395.0,117.05,0.01
0.0437,400.0,112.1,0.01
0.0437,405.0,107.2,0.015
0.0437,410.0,102.275,0.01
0.0437,415.0,97.15,0.015
0.0437,420.0,92.05,0.025
0.0437,425.0,87.35,0.03
0.0437,430.0,82.225,0.035
0.0437,435.0,77.225,0.05
0.0437,440.0,72.275,0.07
0.0437,445.0,67.375,0.09
0.0437,450.0,62.4,0.115
0.0437,455.0,57.45,0.16
0.0437,460.0,52.6,0.21
0.0437,465.0,47.7,0.28
0.0437,470.0,42.7,0.355
0.0437,475.0,38.0,0.42
0.0437,480.0,33.25,0.645
0.0437,485.0,28.5,1.07
0.0437,490.0,23.95,1.495
0.0437,492.5,21.525,1.79
0.0437,495.0,19.5,2.155
0.0437,497.5,17.575,2.595
0.0437,500.0,15.1,3.125
0.0437,502.5,13.7,3.75
0.0437,505.0,11.95,4.475
0.0437,507.5,10.4,5.375
0.0437,510.0,8.8,6.375
0.0437,512.5,7.425,7.5
0.0437,515.0,6.175,8.8
0.0437,517.5,5.0,10.25
0.0437,520.0,4.15,11.8
0.0437,525.0,2.575,15.375
0.0437,530.0,1.575,19.475
0.0437,535.0,0.895,23.875
0.0437,540.0,0.575,28.625
0.0437,545.0,0.275,33.575
0.0437,550.0,0.14,38.8
0.0437,555.0,0.08,43.55
0.0437,560.0,0.06,
0.0437,565.0,0.04,
0.0437,570.0,0.035,
0.0437,575.0,0.025,
0.0437,580.0,0.015,68.65
0.0437,585.0,0.01,
0.0437,590.0,0.01,
0.0437,595.0,0.01,
0.0437,600.0,0.005,
0.0437,605.0,0.01,
0.0437,610.0,0.01,
0.0437,615.0,0.01,
0.0437,625.0,0.01,
0.0437,630.0,0.01,
0.0437,645.0,0.01,
0.0437,650.0,0.01,
0.0714,180.0,331.7,0.005
0.0714,200.0,311.75,0.01
0.0714,210.0,231.85,0.01
0.0714,220.0,291.8,0.01
0.0714,230.0,281.8,0.01
0.0714,240.0,0.0,0.01
0.0714,250.0,261.85,0.01
0.0714,260.0,251.9,0.01
0.0714,270.0,241.9,0.01
0.0714,280.0,231.95,0.01
0.0714,290.0,221.95,0.01
0.0714,300.0,212.0,0.01
0.0714,305.0,207.0,0.01
0.0714,310.0,202.025,0.005
0.0714,315.0,197.05,0.01
0.0714,320.0,192.05,0.005
0.0714,325.0,187.1,0.01
0.0714,330.0,182.075,0.01
0.0714,335.0,177.1,0.005
0.0714,340.0,172.1,0.01
0.0714,345.0,167.1,0.01
0.0714,350.0,162.2,0.01
0.0714,355.0,157.15,0.01
0.0714,360.0,152.15,0.015
0.0714,365.0,147.5,0.005
0.0714,370.0,142.45,0.02
0.0714,375.0,137.4,0.015
0.0714,380.0,132.4,0.015
0.0714,385.0,127.5,0.015
0.0714,390.0,122.65,0.03
0.0714,395.0,117.675,0.035
0.0714,400.0,112.65,0.035
0.0714,405.0,107.6,0.04
0.0714,410.0,102.5,0.05
0.0714,415.0,97.5,0.065
0.0714,420.0,92.75,0.08
0.0714,425.0,87.55,0.1
0.0714,430.0,82.825,0.13
0.0714,435.0,77.875,0.155
0.0714,440.0,72.925,0.2
0.0714,445.0,68.1,0.245
0.0714,450.0,63.05,0.31
0.0714,455.0,58.15,0.4
0.0714,460.0,53.675,0.51
0.0714,465.0,48.45,0.655
0.0714,470.0,43.65,0.85
0.0714,475.0,38.9,1.115
0.0714,480.0,34.275,1.42
0.0714,485.0,29.725,1.945
0.0714,490.0,25.35,2.63
0.0714,492.5,23.35,3.01
0.0714,495.0,20.4,3.5
0.0714,497.5,19.35,4.025
0.0714,500.0,17.475,4.65
0.0714,502.5,15.2,5.35
0.0714,505.0,13.975,6.125
0.0714,507.5,12.675,7.0
0.0714,510.0,10.9,8.1
0.0714,512.5,9.525,9.225
0.0714,515.0,8.125,10.475
0.0714,517.5,7.45,11.85
0.0714,520.0,5.875,13.325
0.0714,525.0,4.325,16.625
